n,CNB I,CNB II
0,1.0728764751614568e-09,1.2507984707831122e-09
1,1.081592996556969e-09,1.2704020242211448e-09
2,1.090421051340031e-09,1.2914513983113382e-09
3,1.0993629716019453e-09,1.3141238558826178e-09
4,1.1084212097277097e-09,1.3386196929514827e-09
5,1.11759835833763e-09,1.3651629007476825e-09
6,1.1268971565441507e-09,1.3940094496029401e-09
7,1.1363205679192304e-09,1.4254425274417689e-09
8,1.1458717064527193e-09,1.4597855417856281e-09
9,1.155553998774558e-09,1.497400576716083e-09
10,1.1653710124041194e-09,1.538693717113864e-09
11,1.1753269498186282e-09,1.5841230817957311e-09
12,1.1854257114634672e-09,1.6342036337266096e-09
13,1.1956728000022474e-09,1.689513526716453e-09
14,1.2060723772503838e-09,1.7507010917977293e-09
15,1.2166316107067542e-09,1.8184945204613563e-09
16,1.2273561208546396e-09,1.893711452572259e-09
17,1.2382521709554336e-09,1.977268711597431e-09
18,1.2493320678363344e-09,2.0701932454016323e-09
19,1.260598372184966e-09,2.1736352596888973e-09
20,1.2720671242811352e-09,2.2888833812336673e-09
21,1.2837494373144384e-09,2.417380050172388e-09
22,1.2956538394697062e-09,2.560739155841195e-09
23,1.3078033206548006e-09,2.7207651892456623e-09
24,1.3202069873668583e-09,2.8994748201863453e-09
25,1.3328976664527739e-09,3.0991209257595675e-09
26,1.3458773586255444e-09,3.3222191527279265e-09
27,1.3591981074703893e-09,3.571577264465367e-09
28,1.3728761948047536e-09,3.850327686884268e-09
29,1.3869373784045502e-09,4.1619629800857625e-09
30,1.4014528130080901e-09,4.510375191204379e-09
31,1.4164389945704287e-09,4.899899403777418e-09
32,1.4319668703062875e-09,5.335362017991318e-09
33,1.4480887324873572e-09,5.822133832449511e-09
34,1.4649223042094554e-09,6.36618840235676e-09
35,1.48241173878885e-09,6.974166390715665e-09
36,1.5010012270701378e-09,7.653446253138151e-09
37,1.5200454597821706e-09,8.412222305533887e-09
38,1.5411852858890185e-09,9.259589906076986e-09
39,1.5619125320376396e-09,1.0205639500221358e-08
40,1.5865219503656149e-09,1.1261559630678038e-08
41,1.6096400915355618e-09,1.2439750727200866e-08
42,1.6380509528156482e-09,1.3753948760930487e-08
43,1.665459328781088e-09,1.5219362457741335e-08
44,1.6977995485879034e-09,1.6852820381694057e-08
45,1.7310073815986067e-09,1.867293657137037e-08
